1.	1	14	19	0
2.	1	27	4	1
3.	1	61	33	1
4.	1	39	31	3
5.	1	29	19	1
6.	1	38	32	12
7.	1	78	36	1
all	1	41	33	3
1.	2	22	34	0
2.	2	101	25	0
3.	2	118	73	1
4.	2	23	23	15
5.	2	72	51	6
6.	2	67	45	8
7.	2	120	61	7
all	2	74	60	5
1.	3	40	41	0
2.	3	154	116	3
3.	3	167	90	7
4.	3	45	59	6
5.	3	91	61	6
6.	3	88	85	6
7.	3	178	136	8
all	3	109	103	5
1.	4	71	93	0
2.	4	188	106	0
3.	4	214	135	9
4.	4	76	108	9
5.	4	105	112	0
6.	4	110	113	8
7.	4	250	150	12
all	4	145	134	6
1.	5	77	103	0
2.	5	303	173	0
3.	5	330	175	15
4.	5	115	110	26
5.	5	158	146	1
6.	5	153	137	8
7.	5	348	187	0
all	5	212	181	7
1.	7	118	131	0
2.	7	602	273	0
3.	7	536	213	55
4.	7	116	99	58
5.	7	179	113	5
6.	7	186	146	37
7.	7	577	283	6
all	7	330	285	23
1.	10	165	116	0
2.	10	1133	380	6
3.	10	996	358	114
4.	10	186	128	127
5.	10	386	228	3
6.	10	292	214	37
7.	10	978	386	16
all	10	591	482	43
1.	12	210	164	0
2.	12	1621	523	8
3.	12	1528	506	233
4.	12	313	238	272
5.	12	608	351	11
6.	12	404	258	46
7.	12	1362	498	5
all	12	864	688	82
1.	15	381	319	0
2.	15	2679	852	6
3.	15	2554	943	467
4.	15	332	225	520
5.	15	671	347	12
6.	15	632	436	67
7.	15	2372	790	8
all	15	1374	1189	154
1.	17	336	280	0
2.	17	3705	1081	24
3.	17	3515	1093	808
4.	17	490	434	642
5.	17	817	479	40
6.	17	731	496	48
7.	17	3672	1170	30
all	17	1895	1709	228
1.	20	488	462	0
2.	20	5609	1611	25
3.	20	5184	1563	979
4.	20	510	400	874
5.	20	1015	691	32
6.	20	890	622	45
7.	20	5240	1587	14
all	20	2705	2554	281
1.	25	487	522	0
2.	25	8863	2195	6
3.	25	8677	2465	1514
4.	25	612	520	1383
5.	25	1113	630	22
6.	25	871	590	63
7.	25	8581	2237	25
all	25	4172	4233	430
1.	30	632	567	0
2.	30	13521	2668	14
3.	30	12634	3593	2048
4.	30	735	581	1670
5.	30	1556	963	6
6.	30	1230	798	78
7.	30	12726	3456	5
all	30	6148	6312	546
1.	40	745	861	0
2.	40	22026	4585	18
3.	40	20910	5294	3112
4.	40	968	975	2393
5.	40	1822	1317	70
6.	40	1611	1179	99
7.	40	20889	5412	30
all	40	9853	10486	817
1.	50	1237	1398	0
2.	50	34256	6366	18
3.	50	33828	7542	3800
4.	50	1570	1367	3196
5.	50	2779	2115	40
6.	50	1958	1395	89
7.	50	32446	8337	31
all	50	15439	16453	1025

